Feature Set,F1 Macro,F1 Weighted,Training Time (s),Prediction Time (s)
TF-IDF Only,0.5471878302334233,0.9847566641463795,119.58883929252625,0.8870067596435547
SBERT Only,0.4064768180920249,0.9321010952498837,984.925755739212,3.069901943206787
TF-IDF + Numeric,0.5492973856676383,0.9847569755678466,119.54555869102478,0.8021726608276367
SBERT + Numeric,0.4051046129068219,0.9333149269004231,960.4128160476685,3.2578508853912354
All Features,0.4409640247276002,0.9576511038283523,510.31879711151123,4.5178608894348145
